ID,"class"
190,democrat
285,democrat
251,democrat
40,democrat
91,democrat
244,democrat
292,democrat
151,democrat
317,democrat
138,democrat
100,democrat
252,democrat
104,democrat
93,democrat
430,democrat
204,democrat
123,democrat
165,democrat
278,democrat
78,democrat
385,democrat
360,democrat
95,democrat
428,democrat
84,democrat
300,democrat
122,democrat
256,democrat
391,democrat
248,democrat
315,democrat
270,democrat
325,democrat
286,democrat
357,democrat
416,democrat
53,democrat
214,democrat
435,democrat
177,democrat
386,democrat
367,democrat
131,democrat
200,democrat
90,democrat
371,democrat
388,democrat
420,democrat
327,democrat
392,democrat
393,democrat
305,democrat
169,democrat
374,democrat
337,democrat
198,democrat
80,democrat
421,democrat
164,democrat
130,democrat
242,democrat
128,democrat
76,democrat
87,democrat
35,democrat
354,democrat
25,democrat
390,democrat
311,democrat
423,democrat
135,democrat
342,democrat
127,democrat
166,democrat
299,democrat
222,democrat
193,democrat
366,democrat
389,democrat
133,democrat
1,democrat
7,democrat
4,democrat
312,democrat
229,democrat
153,democrat
404,democrat
330,democrat
356,democrat
355,democrat
322,democrat
187,democrat
56,democrat
69,democrat
403,democrat
194,democrat
205,democrat
107,democrat
361,democrat
47,democrat
335,democrat
384,democrat
162,democrat
195,democrat
345,democrat
372,democrat
212,democrat
97,democrat
136,democrat
92,democrat
341,democrat
26,democrat
369,democrat
27,democrat
199,democrat
272,democrat
142,democrat
422,democrat
408,democrat
247,democrat
234,democrat
306,democrat
400,democrat
89,democrat
263,democrat
119,democrat
2,democrat
155,democrat
101,democrat
32,democrat
279,democrat
161,democrat
383,democrat
431,democrat
224,democrat
425,democrat
308,democrat
349,democrat
11,democrat
413,democrat
344,democrat
94,democrat
83,democrat
217,democrat
318,democrat
207,democrat
394,democrat
191,democrat
387,democrat
79,democrat
235,democrat
118,democrat
418,democrat
427,democrat
55,democrat
338,democrat
176,democrat
59,democrat
139,democrat
206,democrat
109,democrat
82,democrat
225,democrat
3,democrat
238,democrat
333,democrat
301,democrat
240,democrat
324,democrat
220,democrat
351,democrat
218,democrat
163,democrat
29,democrat
274,democrat
246,democrat
144,democrat
319,democrat
99,democrat
282,democrat
183,democrat
179,democrat
62,democrat
63,democrat
188,democrat
271,democrat
227,democrat
48,democrat
5,democrat
19,democrat
237,democrat
167,democrat
145,democrat
399,democrat
273,democrat
126,democrat
267,democrat
111,democrat
253,democrat
303,democrat
343,democrat
411,democrat
307,democrat
108,democrat
417,democrat
281,democrat
73,democrat
10,democrat
64,democrat
159,democrat
261,democrat
262,democrat
181,democrat
287,democrat
434,democrat
17,democrat
382,democrat
